idade,trabalho,estado civil,educação,atraso,casa,empréstimo,contato,mês,dia,duração,ncontatos,anterior
52,escritório,casado(a),graduação,não,não,não,telefone móvel,agosto,quinta-feira,longa,1,nenhum
32,,solteiro(a),,não,sim,não,telefone móvel,agosto,segunda-feira,longa,3,mais de um
46,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,maio,segunda-feira,média,2,nenhum
31,escritório,casado(a),graduação,não,não,não,telefone móvel,abril,quinta-feira,longa,3,nenhum
54,desempregado,casado(a),básico,,não,não,telefone móvel,julho,segunda-feira,média,1,nenhum
40,trabalhador manual,solteiro(a),,,não,não,telefone fixo,maio,terça-feira,média,3,nenhum
32,escritório,solteiro(a),ensino médio,não,sim,sim,telefone fixo,maio,terça-feira,média,2,nenhum
30,especialista,solteiro(a),graduação,não,não,não,telefone fixo,junho,segunda-feira,curta,1,nenhum
35,gerência,casado(a),graduação,não,sim,não,telefone fixo,maio,segunda-feira,curta,1,nenhum
37,escritório,solteiro(a),graduação,não,não,não,telefone fixo,junho,terça-feira,curta,10,nenhum
37,trabalhador manual,casado(a),básico,não,não,não,telefone fixo,maio,quarta-feira,curta,3,nenhum
28,trabalhador manual,casado(a),básico,,não,não,telefone móvel,maio,segunda-feira,longa,7,nenhum
29,escritório,solteiro(a),ensino médio,não,não,sim,telefone móvel,julho,segunda-feira,média,2,nenhum
49,desempregado,casado(a),ensino técnico,não,sim,sim,telefone móvel,maio,segunda-feira,curta,4,apenas um
45,trabalhador manual,casado(a),básico,,sim,não,telefone móvel,abril,segunda-feira,curta,3,nenhum
33,especialista,casado(a),graduação,não,não,não,telefone fixo,junho,quinta-feira,curta,1,nenhum
32,escritório,casado(a),ensino médio,não,não,não,telefone móvel,julho,quinta-feira,longa,1,nenhum
40,escritório,divorciado(a),ensino técnico,não,não,não,telefone móvel,março,quinta-feira,longa,4,apenas um
54,trabalhador manual,casado(a),básico,não,não,não,telefone fixo,maio,terça-feira,média,2,nenhum
34,escritório,solteiro(a),graduação,não,não,não,telefone móvel,maio,quarta-feira,média,2,nenhum
27,desempregado,casado(a),ensino médio,não,sim,não,telefone móvel,julho,sexta-feira,longa,7,nenhum
33,gerência,divorciado(a),básico,,sim,não,telefone fixo,maio,sexta-feira,média,2,nenhum
41,empreendedor,casado(a),graduação,não,não,não,telefone fixo,maio,sexta-feira,longa,1,nenhum
35,terceirizados,solteiro(a),básico,,sim,sim,telefone fixo,maio,quarta-feira,média,1,nenhum
26,trabalhador manual,solteiro(a),básico,,sim,não,telefone fixo,julho,quarta-feira,média,4,nenhum
26,,solteiro(a),ensino médio,não,não,não,telefone móvel,junho,segunda-feira,longa,2,nenhum
42,gerência,casado(a),graduação,não,não,sim,telefone móvel,maio,quinta-feira,curta,1,nenhum
35,trabalhador manual,casado(a),básico,não,não,não,telefone móvel,julho,quarta-feira,curta,7,nenhum
49,especialista,casado(a),graduação,,não,não,telefone móvel,agosto,sexta-feira,curta,2,nenhum
51,especialista,casado(a),ensino técnico,,sim,sim,telefone fixo,junho,sexta-feira,longa,7,nenhum
53,terceirizados,casado(a),ensino médio,,sim,não,telefone móvel,maio,segunda-feira,longa,1,nenhum
49,empreendedor,casado(a),ensino médio,não,sim,não,telefone móvel,agosto,sexta-feira,média,1,nenhum
31,especialista,,graduação,não,não,não,telefone móvel,março,segunda-feira,longa,2,mais de um
33,escritório,solteiro(a),ensino médio,,sim,não,telefone móvel,julho,quarta-feira,curta,4,nenhum
26,gerência,solteiro(a),graduação,não,não,não,telefone fixo,setembro,terça-feira,curta,1,nenhum
52,escritório,casado(a),graduação,não,sim,não,telefone móvel,agosto,quinta-feira,média,1,nenhum
75,aposentado,casado(a),ensino médio,não,sim,não,telefone móvel,agosto,quinta-feira,longa,1,apenas um
39,do lar,casado(a),básico,,não,não,telefone móvel,novembro,quarta-feira,curta,2,nenhum
59,terceirizados,casado(a),básico,,não,não,telefone móvel,maio,quarta-feira,longa,1,nenhum
46,escritório,casado(a),graduação,não,não,não,telefone móvel,julho,quinta-feira,média,1,nenhum
31,escritório,solteiro(a),graduação,não,não,não,telefone móvel,agosto,quinta-feira,longa,4,nenhum
43,gerência,casado(a),graduação,,sim,sim,telefone móvel,agosto,terça-feira,longa,1,nenhum
42,escritório,casado(a),básico,não,não,não,telefone móvel,abril,sexta-feira,longa,2,apenas um
51,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,maio,segunda-feira,média,3,apenas um
36,escritório,solteiro(a),graduação,não,não,não,telefone móvel,agosto,segunda-feira,longa,1,nenhum
35,trabalhador manual,casado(a),básico,não,não,não,telefone fixo,maio,terça-feira,longa,1,nenhum
59,aposentado,divorciado(a),ensino médio,não,sim,não,telefone móvel,outubro,quinta-feira,curta,4,nenhum
44,trabalhador manual,casado(a),básico,não,não,sim,telefone móvel,maio,segunda-feira,longa,1,apenas um
35,trabalhador manual,solteiro(a),ensino médio,não,sim,não,telefone móvel,julho,terça-feira,curta,4,nenhum
56,trabalhador manual,casado(a),básico,,não,não,telefone fixo,junho,segunda-feira,longa,1,nenhum
55,empreendedor,casado(a),ensino técnico,não,não,não,telefone móvel,novembro,terça-feira,longa,1,nenhum
32,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,novembro,sexta-feira,curta,1,nenhum
41,gerência,casado(a),graduação,não,não,não,telefone móvel,abril,segunda-feira,curta,3,nenhum
43,empreendedor,casado(a),básico,não,não,não,telefone móvel,outubro,quarta-feira,média,3,nenhum
30,especialista,solteiro(a),ensino técnico,não,sim,não,telefone móvel,abril,segunda-feira,longa,3,nenhum
38,especialista,casado(a),básico,não,não,não,telefone fixo,junho,segunda-feira,média,1,nenhum
38,do lar,casado(a),graduação,não,não,não,telefone móvel,outubro,quinta-feira,longa,2,mais de um
54,terceirizados,casado(a),básico,não,sim,não,telefone móvel,agosto,segunda-feira,média,2,nenhum
32,trabalhador manual,solteiro(a),ensino médio,não,não,não,telefone móvel,novembro,quinta-feira,média,1,nenhum
30,desempregado,casado(a),graduação,não,sim,não,telefone móvel,julho,quinta-feira,longa,3,nenhum
40,trabalhador manual,solteiro(a),básico,não,não,não,telefone móvel,maio,segunda-feira,média,3,nenhum
39,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,abril,segunda-feira,média,1,apenas um
51,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,maio,quinta-feira,longa,3,nenhum
55,terceirizados,divorciado(a),graduação,não,não,não,telefone móvel,maio,terça-feira,longa,1,nenhum
34,gerência,solteiro(a),graduação,não,sim,não,telefone fixo,novembro,quinta-feira,curta,2,apenas um
58,escritório,divorciado(a),graduação,,não,não,telefone móvel,novembro,sexta-feira,curta,2,nenhum
31,empreendedor,casado(a),ensino médio,não,sim,sim,telefone móvel,maio,sexta-feira,longa,1,nenhum
29,escritório,casado(a),graduação,não,não,não,telefone móvel,julho,segunda-feira,média,2,nenhum
33,escritório,divorciado(a),ensino médio,não,sim,não,telefone móvel,maio,quinta-feira,longa,1,nenhum
27,especialista,solteiro(a),ensino técnico,não,sim,não,telefone fixo,junho,terça-feira,média,3,nenhum
35,especialista,solteiro(a),ensino técnico,não,sim,não,telefone móvel,agosto,terça-feira,média,1,nenhum
35,escritório,solteiro(a),ensino médio,não,sim,não,telefone móvel,julho,quarta-feira,média,2,nenhum
37,escritório,solteiro(a),graduação,não,não,não,telefone móvel,junho,quarta-feira,longa,1,apenas um
24,trabalhador manual,solteiro(a),básico,não,sim,não,telefone móvel,maio,segunda-feira,curta,1,nenhum
35,escritório,solteiro(a),graduação,não,não,não,telefone fixo,outubro,terça-feira,média,1,nenhum
46,especialista,casado(a),ensino médio,não,sim,não,telefone móvel,agosto,terça-feira,curta,1,nenhum
52,especialista,casado(a),ensino técnico,não,sim,não,telefone móvel,outubro,quinta-feira,curta,6,mais de um
31,especialista,casado(a),ensino médio,,não,não,telefone fixo,junho,terça-feira,longa,1,nenhum
34,desempregado,divorciado(a),ensino técnico,não,sim,não,telefone móvel,agosto,segunda-feira,média,2,nenhum
45,trabalhador manual,casado(a),ensino técnico,não,sim,sim,telefone móvel,maio,terça-feira,média,2,apenas um
50,empreendedor,casado(a),graduação,não,não,não,telefone móvel,maio,terça-feira,média,2,nenhum
60,especialista,casado(a),básico,,sim,sim,telefone móvel,julho,quinta-feira,longa,1,nenhum
37,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,maio,segunda-feira,curta,1,apenas um
31,escritório,casado(a),graduação,não,não,não,telefone móvel,junho,terça-feira,média,2,nenhum
46,gerência,casado(a),graduação,não,sim,sim,telefone móvel,agosto,sexta-feira,média,1,nenhum
56,escritório,divorciado(a),ensino médio,não,não,não,telefone fixo,junho,quarta-feira,média,2,nenhum
36,especialista,casado(a),ensino técnico,não,sim,sim,telefone móvel,agosto,segunda-feira,média,1,nenhum
37,gerência,casado(a),básico,não,sim,não,telefone móvel,outubro,segunda-feira,curta,3,nenhum
30,escritório,casado(a),graduação,não,sim,sim,telefone móvel,julho,terça-feira,média,2,apenas um
59,do lar,solteiro(a),ensino técnico,não,não,não,telefone móvel,abril,segunda-feira,média,2,mais de um
72,aposentado,casado(a),básico,não,sim,não,telefone móvel,agosto,sexta-feira,média,1,nenhum
39,especialista,solteiro(a),ensino técnico,não,sim,não,telefone móvel,maio,quinta-feira,longa,2,apenas um
80,aposentado,casado(a),básico,não,não,não,telefone móvel,setembro,terça-feira,média,1,apenas um
39,especialista,solteiro(a),graduação,não,sim,não,telefone móvel,junho,segunda-feira,longa,6,nenhum
32,escritório,divorciado(a),graduação,não,sim,não,telefone fixo,maio,terça-feira,média,2,nenhum
42,gerência,casado(a),graduação,não,sim,não,telefone móvel,maio,sexta-feira,curta,1,nenhum
44,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,dezembro,terça-feira,longa,2,nenhum
36,gerência,casado(a),graduação,não,não,não,telefone móvel,junho,terça-feira,média,2,nenhum
42,escritório,solteiro(a),ensino médio,não,não,não,telefone móvel,maio,segunda-feira,longa,7,apenas um
26,escritório,casado(a),graduação,não,sim,não,telefone móvel,março,sexta-feira,média,1,nenhum
32,gerência,casado(a),graduação,não,sim,não,telefone móvel,outubro,terça-feira,média,3,apenas um
35,gerência,solteiro(a),graduação,não,sim,não,telefone fixo,novembro,quarta-feira,curta,2,apenas um
33,escritório,divorciado(a),graduação,não,não,sim,telefone fixo,julho,sexta-feira,média,2,nenhum
36,escritório,casado(a),graduação,,não,não,telefone móvel,novembro,segunda-feira,curta,1,apenas um
35,terceirizados,divorciado(a),básico,,sim,não,telefone fixo,junho,sexta-feira,curta,3,nenhum
26,terceirizados,solteiro(a),ensino médio,não,sim,não,telefone móvel,junho,quinta-feira,média,1,nenhum
30,trabalhador manual,casado(a),ensino técnico,não,sim,sim,telefone fixo,maio,quarta-feira,média,1,nenhum
32,trabalhador manual,solteiro(a),ensino médio,não,sim,sim,telefone móvel,julho,quarta-feira,longa,1,nenhum
41,gerência,casado(a),graduação,não,sim,não,telefone móvel,novembro,sexta-feira,média,1,nenhum
38,trabalhador manual,divorciado(a),básico,,sim,não,telefone móvel,abril,quinta-feira,longa,2,apenas um
23,trabalhador manual,solteiro(a),básico,,não,não,telefone fixo,maio,sexta-feira,média,2,nenhum
34,desempregado,casado(a),ensino médio,não,sim,sim,telefone móvel,outubro,terça-feira,longa,2,nenhum
60,aposentado,casado(a),básico,não,não,não,telefone móvel,maio,segunda-feira,média,2,nenhum
33,empreendedor,casado(a),graduação,não,sim,não,telefone móvel,julho,quarta-feira,média,1,nenhum
34,escritório,solteiro(a),ensino médio,não,sim,não,telefone móvel,julho,terça-feira,longa,5,nenhum
49,escritório,divorciado(a),graduação,não,sim,não,telefone móvel,julho,sexta-feira,longa,2,nenhum
52,especialista,casado(a),ensino técnico,não,sim,não,telefone móvel,agosto,quinta-feira,curta,2,nenhum
21,,solteiro(a),,não,não,não,telefone móvel,abril,sexta-feira,longa,2,nenhum
31,especialista,solteiro(a),ensino técnico,não,sim,não,telefone móvel,novembro,quinta-feira,média,2,apenas um
49,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,maio,terça-feira,longa,3,nenhum
50,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,junho,terça-feira,curta,31,nenhum
34,escritório,casado(a),básico,não,sim,não,telefone fixo,maio,terça-feira,média,1,nenhum
36,desempregado,casado(a),graduação,não,não,não,telefone móvel,outubro,quinta-feira,longa,1,apenas um
31,escritório,casado(a),graduação,não,sim,não,telefone móvel,junho,quinta-feira,curta,2,apenas um
51,escritório,divorciado(a),graduação,não,sim,sim,telefone móvel,maio,quarta-feira,média,3,nenhum
47,especialista,casado(a),ensino técnico,não,sim,não,telefone fixo,maio,terça-feira,média,1,apenas um
40,empreendedor,casado(a),graduação,,não,não,telefone móvel,novembro,terça-feira,curta,2,nenhum
49,desempregado,solteiro(a),básico,não,sim,não,telefone móvel,abril,quinta-feira,média,1,apenas um
72,aposentado,casado(a),ensino técnico,não,sim,não,telefone móvel,julho,quinta-feira,curta,3,nenhum
28,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,abril,segunda-feira,média,1,nenhum
34,trabalhador manual,casado(a),básico,,não,não,telefone fixo,junho,segunda-feira,curta,1,nenhum
38,especialista,casado(a),ensino técnico,não,não,não,telefone fixo,junho,terça-feira,longa,3,nenhum
41,escritório,divorciado(a),graduação,,sim,não,telefone móvel,agosto,terça-feira,longa,2,nenhum
51,escritório,casado(a),graduação,não,sim,não,telefone móvel,agosto,quarta-feira,longa,5,nenhum
24,escritório,casado(a),básico,não,sim,não,telefone móvel,julho,segunda-feira,longa,2,nenhum
36,empreendedor,casado(a),graduação,não,sim,não,telefone fixo,julho,quarta-feira,curta,3,nenhum
57,especialista,casado(a),ensino técnico,não,sim,não,telefone móvel,julho,terça-feira,média,1,nenhum
67,trabalhador manual,casado(a),,não,sim,não,telefone móvel,maio,quarta-feira,média,2,mais de um
44,empreendedor,casado(a),básico,não,não,não,telefone fixo,maio,quarta-feira,média,2,nenhum
40,especialista,casado(a),graduação,,sim,não,telefone móvel,agosto,quinta-feira,curta,18,nenhum
51,,casado(a),,não,não,não,telefone móvel,outubro,quarta-feira,média,1,mais de um
38,trabalhador manual,casado(a),básico,,não,não,telefone móvel,maio,quinta-feira,longa,2,nenhum
41,empreendedor,casado(a),básico,não,sim,não,telefone móvel,novembro,terça-feira,curta,1,apenas um
47,terceirizados,casado(a),ensino médio,não,não,não,telefone móvel,julho,quinta-feira,curta,1,nenhum
58,aposentado,divorciado(a),graduação,,não,não,telefone móvel,agosto,quinta-feira,longa,5,nenhum
31,,solteiro(a),,,não,não,telefone fixo,maio,quarta-feira,média,4,nenhum
84,aposentado,casado(a),ensino médio,não,não,não,telefone móvel,dezembro,quinta-feira,média,1,mais de um
25,especialista,solteiro(a),graduação,não,sim,não,telefone móvel,maio,sexta-feira,curta,4,nenhum
25,,solteiro(a),ensino médio,não,sim,sim,telefone móvel,setembro,quarta-feira,média,2,mais de um
42,escritório,solteiro(a),graduação,,sim,não,telefone móvel,agosto,quinta-feira,longa,3,nenhum
57,terceirizados,solteiro(a),ensino médio,não,não,sim,telefone móvel,agosto,terça-feira,longa,3,nenhum
33,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,abril,quinta-feira,média,1,apenas um
22,,solteiro(a),ensino médio,não,não,não,telefone fixo,junho,sexta-feira,curta,7,nenhum
39,especialista,solteiro(a),ensino técnico,não,não,não,telefone móvel,setembro,quinta-feira,longa,4,nenhum
54,trabalhador manual,solteiro(a),básico,não,sim,não,telefone móvel,julho,quarta-feira,longa,1,nenhum
30,especialista,solteiro(a),graduação,não,não,não,telefone móvel,maio,segunda-feira,curta,3,nenhum
27,do lar,solteiro(a),ensino médio,,sim,sim,telefone fixo,julho,quinta-feira,média,1,nenhum
33,escritório,solteiro(a),graduação,não,não,não,telefone móvel,novembro,segunda-feira,curta,2,nenhum
54,trabalhador manual,solteiro(a),básico,não,sim,não,telefone fixo,junho,segunda-feira,curta,3,nenhum
55,escritório,casado(a),graduação,não,sim,não,telefone fixo,maio,quinta-feira,longa,3,nenhum
46,trabalhador manual,casado(a),básico,,sim,não,telefone móvel,novembro,segunda-feira,longa,2,nenhum
45,especialista,casado(a),ensino médio,não,não,não,telefone fixo,junho,segunda-feira,longa,3,nenhum
35,trabalhador manual,casado(a),básico,,sim,não,telefone fixo,junho,terça-feira,média,8,nenhum
56,,casado(a),,,não,não,telefone fixo,maio,sexta-feira,longa,1,nenhum
38,especialista,solteiro(a),graduação,não,sim,não,telefone fixo,maio,terça-feira,curta,1,nenhum
41,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,maio,quinta-feira,média,1,nenhum
32,escritório,divorciado(a),graduação,não,sim,não,telefone móvel,agosto,terça-feira,média,1,nenhum
58,gerência,casado(a),,não,não,não,telefone móvel,junho,segunda-feira,curta,1,nenhum
50,trabalhador manual,divorciado(a),,,não,não,telefone móvel,julho,quarta-feira,média,2,nenhum
50,do lar,solteiro(a),graduação,não,não,sim,telefone móvel,dezembro,segunda-feira,longa,3,nenhum
47,,solteiro(a),,não,sim,não,telefone fixo,julho,sexta-feira,média,4,nenhum
31,especialista,solteiro(a),graduação,não,não,não,telefone fixo,outubro,quarta-feira,longa,1,nenhum
37,escritório,casado(a),graduação,não,sim,não,telefone móvel,novembro,sexta-feira,média,1,nenhum
56,gerência,casado(a),graduação,não,não,sim,telefone móvel,julho,quarta-feira,média,2,apenas um
33,trabalhador manual,casado(a),básico,não,sim,sim,telefone móvel,maio,quarta-feira,curta,4,nenhum
44,trabalhador manual,casado(a),básico,,sim,não,telefone móvel,maio,quinta-feira,longa,1,nenhum
39,trabalhador manual,divorciado(a),básico,não,não,não,telefone móvel,julho,sexta-feira,média,2,nenhum
42,trabalhador manual,solteiro(a),básico,não,não,não,telefone móvel,maio,sexta-feira,média,1,nenhum
33,especialista,casado(a),ensino técnico,não,não,sim,telefone móvel,agosto,sexta-feira,média,2,nenhum
52,terceirizados,casado(a),,,não,não,telefone fixo,maio,sexta-feira,curta,2,nenhum
42,trabalhador manual,casado(a),básico,não,não,não,telefone fixo,maio,quinta-feira,longa,1,nenhum
42,empreendedor,casado(a),básico,não,não,não,telefone fixo,julho,sexta-feira,curta,1,nenhum
48,terceirizados,casado(a),ensino médio,,sim,não,telefone fixo,maio,segunda-feira,curta,1,nenhum
38,escritório,casado(a),graduação,não,sim,não,telefone móvel,novembro,sexta-feira,média,1,nenhum
39,terceirizados,casado(a),ensino médio,não,não,não,telefone móvel,novembro,quarta-feira,longa,2,apenas um
36,especialista,solteiro(a),graduação,não,sim,sim,telefone móvel,agosto,quinta-feira,média,1,nenhum
33,escritório,casado(a),graduação,não,sim,não,telefone móvel,abril,quinta-feira,longa,1,nenhum
27,,solteiro(a),ensino médio,não,sim,não,telefone móvel,agosto,sexta-feira,média,2,mais de um
32,especialista,solteiro(a),ensino técnico,não,sim,não,telefone móvel,abril,segunda-feira,média,6,nenhum
30,trabalhador manual,solteiro(a),ensino médio,não,sim,não,telefone fixo,junho,terça-feira,média,2,nenhum
27,,solteiro(a),,não,sim,sim,telefone móvel,maio,quinta-feira,longa,1,nenhum
33,empreendedor,casado(a),graduação,não,,,telefone móvel,maio,sexta-feira,longa,1,nenhum
35,desempregado,casado(a),,não,sim,não,telefone fixo,maio,sexta-feira,curta,3,nenhum
35,escritório,solteiro(a),graduação,não,não,sim,telefone móvel,agosto,segunda-feira,média,3,nenhum
39,terceirizados,solteiro(a),ensino médio,não,sim,não,telefone móvel,agosto,quinta-feira,curta,5,nenhum
45,escritório,casado(a),graduação,,sim,não,telefone fixo,junho,quinta-feira,curta,2,nenhum
37,empreendedor,casado(a),ensino médio,,sim,não,telefone móvel,agosto,segunda-feira,curta,1,nenhum
49,especialista,casado(a),ensino técnico,não,não,não,telefone móvel,julho,terça-feira,média,1,apenas um
