idade,trabalho,estado civil,educação,atraso,casa,empréstimo,contato,mês,dia,duração,ncontatos,anterior,produto
28,terceirizados,casado(a),graduação,não,não,não,telefone móvel,maio,terça-feira,média,1,nenhum,não
33,terceirizados,solteiro(a),ensino médio,não,não,não,telefone móvel,abril,quinta-feira,longa,2,nenhum,não
47,do lar,solteiro(a),básico,,não,não,telefone móvel,maio,quarta-feira,longa,2,apenas um,não
28,especialista,casado(a),ensino técnico,não,não,não,telefone móvel,julho,quinta-feira,curta,9,nenhum,não
55,trabalhador manual,casado(a),,não,não,não,telefone móvel,agosto,sexta-feira,média,1,nenhum,não
51,gerência,casado(a),básico,não,não,não,telefone móvel,março,quarta-feira,curta,1,nenhum,sim
57,aposentado,casado(a),ensino médio,,sim,não,telefone móvel,agosto,quinta-feira,longa,1,nenhum,sim
30,escritório,solteiro(a),graduação,não,não,não,telefone móvel,julho,terça-feira,curta,2,nenhum,não
43,especialista,casado(a),ensino técnico,não,não,não,telefone fixo,maio,terça-feira,longa,1,nenhum,sim
55,do lar,casado(a),básico,,não,não,telefone fixo,junho,quarta-feira,média,5,nenhum,não
35,especialista,casado(a),graduação,não,não,não,telefone móvel,abril,sexta-feira,média,1,apenas um,não
27,do lar,casado(a),graduação,não,não,não,telefone fixo,maio,terça-feira,média,1,nenhum,não
60,especialista,casado(a),,não,sim,não,telefone fixo,maio,segunda-feira,longa,1,nenhum,não
42,trabalhador manual,casado(a),básico,,sim,não,telefone móvel,abril,sexta-feira,média,2,nenhum,não
48,trabalhador manual,divorciado(a),básico,não,sim,sim,telefone móvel,julho,segunda-feira,média,3,nenhum,não
47,empreendedor,solteiro(a),graduação,,não,não,telefone móvel,abril,segunda-feira,longa,1,nenhum,não
42,escritório,solteiro(a),básico,não,,,telefone fixo,maio,quarta-feira,curta,1,nenhum,não
50,aposentado,solteiro(a),básico,,não,não,telefone móvel,julho,sexta-feira,longa,1,nenhum,não
33,trabalhador manual,casado(a),básico,,não,não,telefone fixo,junho,segunda-feira,curta,1,nenhum,não
48,gerência,casado(a),básico,não,não,sim,telefone fixo,junho,segunda-feira,curta,2,nenhum,não
37,escritório,solteiro(a),graduação,não,não,não,telefone móvel,março,segunda-feira,longa,1,nenhum,sim
51,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,julho,terça-feira,média,2,nenhum,não
39,escritório,solteiro(a),básico,não,não,não,telefone fixo,junho,quinta-feira,longa,1,nenhum,não
19,,solteiro(a),básico,não,não,sim,telefone móvel,outubro,sexta-feira,longa,2,nenhum,sim
33,escritório,solteiro(a),graduação,não,não,não,telefone móvel,julho,terça-feira,longa,1,nenhum,sim
41,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,novembro,segunda-feira,média,2,nenhum,não
41,escritório,casado(a),graduação,não,sim,não,telefone fixo,maio,quarta-feira,longa,2,nenhum,sim
47,especialista,casado(a),ensino técnico,não,sim,não,telefone móvel,agosto,sexta-feira,média,6,apenas um,sim
37,desempregado,solteiro(a),graduação,não,sim,não,telefone móvel,maio,segunda-feira,média,4,nenhum,sim
33,trabalhador manual,casado(a),ensino médio,,não,não,telefone fixo,junho,segunda-feira,longa,2,nenhum,não
30,desempregado,casado(a),graduação,não,sim,não,telefone móvel,julho,quinta-feira,média,1,nenhum,não
45,gerência,casado(a),ensino médio,não,sim,não,telefone móvel,novembro,segunda-feira,média,2,nenhum,não
40,,solteiro(a),,não,sim,não,telefone móvel,junho,sexta-feira,longa,3,nenhum,sim
53,escritório,casado(a),ensino técnico,não,não,não,telefone móvel,julho,terça-feira,longa,1,nenhum,sim
35,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,agosto,terça-feira,média,2,nenhum,não
47,gerência,casado(a),graduação,,não,não,telefone móvel,abril,sexta-feira,média,3,apenas um,não
52,trabalhador manual,casado(a),básico,não,,,telefone fixo,maio,segunda-feira,média,1,nenhum,não
36,especialista,casado(a),graduação,,não,não,telefone móvel,agosto,quinta-feira,curta,5,nenhum,não
47,escritório,divorciado(a),graduação,não,não,não,telefone fixo,maio,sexta-feira,longa,1,nenhum,sim
54,gerência,casado(a),graduação,,não,não,telefone fixo,junho,terça-feira,curta,1,nenhum,não
45,terceirizados,casado(a),básico,,sim,não,telefone móvel,agosto,terça-feira,média,2,nenhum,não
53,terceirizados,casado(a),ensino médio,,sim,não,telefone móvel,julho,sexta-feira,longa,3,nenhum,sim
30,especialista,solteiro(a),graduação,não,sim,não,telefone móvel,dezembro,segunda-feira,média,2,nenhum,sim
40,escritório,solteiro(a),graduação,não,sim,não,telefone fixo,março,segunda-feira,média,1,apenas um,sim
51,do lar,casado(a),básico,não,não,não,telefone móvel,maio,segunda-feira,média,3,nenhum,não
27,especialista,solteiro(a),ensino técnico,não,,,telefone móvel,julho,quarta-feira,longa,1,nenhum,sim
45,empreendedor,casado(a),graduação,não,sim,não,telefone móvel,maio,sexta-feira,média,1,apenas um,não
38,empreendedor,casado(a),graduação,não,sim,não,telefone móvel,agosto,sexta-feira,média,1,nenhum,não
55,escritório,casado(a),ensino médio,não,sim,não,telefone móvel,maio,quinta-feira,longa,1,nenhum,sim
43,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,maio,quinta-feira,média,1,nenhum,não
37,gerência,casado(a),graduação,não,não,não,telefone móvel,agosto,quinta-feira,curta,1,nenhum,não
34,desempregado,casado(a),graduação,não,não,não,telefone móvel,agosto,sexta-feira,média,2,nenhum,não
59,escritório,divorciado(a),graduação,não,sim,não,telefone fixo,maio,quarta-feira,média,1,nenhum,não
34,,casado(a),ensino técnico,não,sim,não,telefone fixo,novembro,quinta-feira,curta,1,nenhum,sim
80,aposentado,casado(a),básico,não,sim,não,telefone móvel,abril,quinta-feira,longa,1,nenhum,sim
59,aposentado,solteiro(a),ensino técnico,não,sim,não,telefone móvel,abril,quarta-feira,longa,3,nenhum,sim
47,trabalhador manual,casado(a),básico,,não,não,telefone móvel,agosto,terça-feira,curta,2,nenhum,não
44,especialista,casado(a),ensino médio,não,não,não,telefone móvel,maio,sexta-feira,média,1,apenas um,sim
28,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,agosto,quarta-feira,longa,2,nenhum,não
61,especialista,divorciado(a),ensino técnico,,sim,não,telefone fixo,maio,quarta-feira,média,6,nenhum,não
34,desempregado,divorciado(a),básico,não,,,telefone móvel,julho,segunda-feira,longa,1,nenhum,não
32,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,junho,quinta-feira,curta,1,nenhum,não
40,empreendedor,casado(a),graduação,não,sim,não,telefone fixo,maio,segunda-feira,média,1,nenhum,não
29,escritório,casado(a),ensino médio,não,não,não,telefone móvel,novembro,terça-feira,longa,2,nenhum,sim
28,escritório,casado(a),graduação,não,não,não,telefone móvel,agosto,quinta-feira,longa,3,apenas um,sim
90,aposentado,divorciado(a),básico,não,não,não,telefone móvel,junho,segunda-feira,média,1,nenhum,sim
32,escritório,casado(a),graduação,não,não,não,telefone móvel,agosto,quarta-feira,média,1,nenhum,não
35,escritório,casado(a),graduação,não,sim,não,telefone fixo,maio,sexta-feira,curta,2,nenhum,não
40,terceirizados,casado(a),ensino médio,não,sim,não,telefone fixo,maio,sexta-feira,curta,2,nenhum,não
41,especialista,casado(a),ensino médio,não,não,não,telefone móvel,agosto,terça-feira,longa,1,nenhum,não
34,gerência,solteiro(a),graduação,não,não,não,telefone fixo,maio,sexta-feira,média,2,nenhum,não
28,escritório,solteiro(a),ensino técnico,não,sim,sim,telefone fixo,junho,sexta-feira,curta,1,nenhum,não
51,gerência,casado(a),graduação,não,não,não,telefone móvel,novembro,quinta-feira,média,1,apenas um,não
33,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,maio,quinta-feira,curta,3,nenhum,não
30,,casado(a),ensino médio,não,não,sim,telefone fixo,junho,terça-feira,média,2,nenhum,não
42,escritório,casado(a),graduação,não,sim,não,telefone móvel,dezembro,quinta-feira,longa,2,nenhum,sim
25,escritório,solteiro(a),ensino médio,não,sim,sim,telefone fixo,julho,quinta-feira,longa,1,nenhum,não
33,,solteiro(a),ensino médio,não,sim,não,telefone móvel,julho,quinta-feira,longa,2,nenhum,sim
31,gerência,casado(a),graduação,não,sim,não,telefone fixo,setembro,quarta-feira,curta,1,nenhum,não
29,terceirizados,casado(a),ensino médio,não,sim,sim,telefone fixo,maio,segunda-feira,curta,2,nenhum,não
45,gerência,casado(a),ensino médio,não,sim,não,telefone fixo,maio,sexta-feira,longa,3,nenhum,não
37,especialista,casado(a),ensino médio,não,não,não,telefone fixo,junho,segunda-feira,longa,1,nenhum,sim
37,escritório,solteiro(a),graduação,não,não,não,telefone fixo,julho,quinta-feira,curta,13,nenhum,não
36,escritório,casado(a),graduação,,não,não,telefone móvel,julho,terça-feira,curta,2,nenhum,não
30,especialista,casado(a),ensino médio,não,não,não,telefone móvel,junho,sexta-feira,média,2,nenhum,sim
37,terceirizados,casado(a),ensino médio,não,sim,sim,telefone móvel,agosto,quinta-feira,média,2,apenas um,sim
47,empreendedor,casado(a),básico,não,não,não,telefone móvel,novembro,terça-feira,longa,2,apenas um,não
41,escritório,casado(a),ensino médio,não,não,sim,telefone móvel,agosto,terça-feira,longa,2,nenhum,sim
36,especialista,casado(a),graduação,não,sim,não,telefone fixo,junho,sexta-feira,média,3,nenhum,não
40,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,novembro,terça-feira,longa,4,apenas um,sim
61,aposentado,divorciado(a),básico,não,não,não,telefone móvel,abril,terça-feira,longa,4,nenhum,sim
38,escritório,casado(a),graduação,,sim,não,telefone fixo,junho,quarta-feira,curta,10,nenhum,não
33,terceirizados,casado(a),ensino médio,não,não,não,telefone móvel,abril,sexta-feira,longa,1,nenhum,não
45,terceirizados,divorciado(a),ensino médio,não,não,não,telefone fixo,maio,quinta-feira,curta,5,nenhum,não
29,gerência,solteiro(a),graduação,não,sim,não,telefone móvel,setembro,terça-feira,longa,1,nenhum,não
36,trabalhador manual,casado(a),básico,,sim,sim,telefone fixo,junho,segunda-feira,longa,1,nenhum,não
78,aposentado,divorciado(a),,não,não,não,telefone móvel,outubro,quinta-feira,curta,2,nenhum,não
41,trabalhador manual,casado(a),básico,,sim,não,telefone móvel,abril,quinta-feira,média,1,nenhum,não
41,terceirizados,casado(a),ensino médio,,não,não,telefone fixo,maio,segunda-feira,média,1,nenhum,não
32,trabalhador manual,casado(a),básico,não,não,não,telefone móvel,maio,quinta-feira,média,2,nenhum,não
38,trabalhador manual,casado(a),básico,não,sim,não,telefone móvel,maio,sexta-feira,média,1,nenhum,não
53,especialista,casado(a),ensino técnico,não,sim,não,telefone móvel,novembro,sexta-feira,longa,1,apenas um,não
49,escritório,divorciado(a),graduação,não,não,não,telefone fixo,maio,terça-feira,longa,5,apenas um,não
30,especialista,solteiro(a),ensino técnico,não,não,não,telefone fixo,maio,quarta-feira,média,2,nenhum,não
34,gerência,casado(a),ensino médio,,sim,não,telefone fixo,maio,quarta-feira,curta,1,nenhum,não
20,,solteiro(a),básico,não,não,não,telefone móvel,março,terça-feira,média,1,nenhum,sim
25,,solteiro(a),ensino médio,não,não,não,telefone móvel,junho,quarta-feira,média,6,apenas um,sim
41,escritório,casado(a),ensino médio,não,sim,não,telefone móvel,novembro,quarta-feira,média,1,nenhum,não
46,especialista,divorciado(a),ensino técnico,não,não,não,telefone móvel,agosto,quinta-feira,curta,3,nenhum,não
58,trabalhador manual,casado(a),básico,,sim,não,telefone fixo,junho,terça-feira,curta,5,nenhum,não
59,especialista,divorciado(a),graduação,não,não,não,telefone móvel,maio,quinta-feira,curta,1,apenas um,não
53,especialista,solteiro(a),ensino técnico,não,sim,não,telefone móvel,agosto,quarta-feira,curta,2,nenhum,não
62,escritório,casado(a),graduação,,sim,não,telefone móvel,junho,quarta-feira,longa,2,nenhum,sim
46,gerência,casado(a),graduação,não,sim,sim,telefone móvel,novembro,segunda-feira,longa,1,nenhum,sim
57,terceirizados,casado(a),ensino médio,não,não,não,telefone móvel,agosto,segunda-feira,média,5,nenhum,não
37,terceirizados,solteiro(a),básico,não,não,não,telefone fixo,junho,terça-feira,curta,10,nenhum,não
32,escritório,solteiro(a),ensino médio,não,não,sim,telefone fixo,julho,terça-feira,média,6,nenhum,não
27,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,maio,quinta-feira,longa,2,nenhum,não
38,especialista,casado(a),ensino técnico,não,não,não,telefone fixo,maio,terça-feira,média,16,nenhum,não
58,aposentado,casado(a),graduação,não,sim,não,telefone móvel,agosto,segunda-feira,longa,1,nenhum,não
36,especialista,solteiro(a),ensino técnico,não,sim,não,telefone móvel,agosto,quinta-feira,longa,1,nenhum,não
51,gerência,casado(a),graduação,,sim,não,telefone fixo,julho,quinta-feira,curta,1,nenhum,não
44,empreendedor,casado(a),graduação,,sim,sim,telefone móvel,agosto,segunda-feira,média,3,nenhum,não
59,escritório,casado(a),graduação,não,sim,não,telefone móvel,agosto,sexta-feira,curta,5,nenhum,não
53,trabalhador manual,casado(a),básico,não,não,não,telefone móvel,agosto,sexta-feira,longa,1,nenhum,sim
45,trabalhador manual,casado(a),básico,,não,não,telefone móvel,maio,terça-feira,longa,1,apenas um,não
40,escritório,casado(a),graduação,não,sim,não,telefone fixo,junho,quinta-feira,curta,3,nenhum,não
32,escritório,solteiro(a),ensino médio,não,não,não,telefone móvel,maio,quarta-feira,longa,1,apenas um,sim
27,trabalhador manual,casado(a),básico,não,não,não,telefone móvel,abril,quinta-feira,curta,2,nenhum,sim
29,escritório,casado(a),graduação,não,sim,não,telefone móvel,abril,quarta-feira,média,1,nenhum,não
43,escritório,divorciado(a),ensino médio,não,sim,sim,telefone fixo,julho,terça-feira,média,3,nenhum,não
27,escritório,solteiro(a),ensino médio,não,não,não,telefone móvel,julho,sexta-feira,média,3,nenhum,não
33,escritório,casado(a),ensino médio,não,não,não,telefone móvel,maio,segunda-feira,curta,1,nenhum,não
30,trabalhador manual,divorciado(a),ensino médio,não,não,não,telefone móvel,maio,sexta-feira,longa,1,nenhum,sim
37,especialista,casado(a),ensino técnico,não,sim,não,telefone móvel,novembro,quinta-feira,longa,1,nenhum,não
40,trabalhador manual,casado(a),básico,,sim,não,telefone móvel,maio,segunda-feira,longa,1,nenhum,não
56,especialista,casado(a),básico,,sim,não,telefone fixo,maio,quarta-feira,curta,4,nenhum,não
31,,solteiro(a),ensino técnico,não,sim,não,telefone móvel,julho,quarta-feira,longa,4,mais de um,sim
38,especialista,solteiro(a),graduação,não,sim,não,telefone móvel,junho,sexta-feira,longa,1,mais de um,sim
39,especialista,casado(a),graduação,não,sim,sim,telefone móvel,agosto,terça-feira,curta,1,nenhum,não
51,escritório,casado(a),graduação,não,não,não,telefone móvel,novembro,terça-feira,curta,1,nenhum,não
48,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,junho,segunda-feira,média,4,nenhum,sim
75,aposentado,casado(a),ensino médio,não,não,não,telefone móvel,agosto,quinta-feira,longa,1,nenhum,não
50,terceirizados,casado(a),básico,não,sim,não,telefone móvel,agosto,quinta-feira,curta,2,nenhum,não
27,,solteiro(a),básico,,sim,sim,telefone fixo,maio,sexta-feira,média,1,nenhum,não
51,do lar,casado(a),básico,não,não,sim,telefone móvel,julho,quarta-feira,longa,1,apenas um,sim
34,escritório,solteiro(a),graduação,não,não,não,telefone móvel,agosto,quarta-feira,média,1,nenhum,não
51,escritório,solteiro(a),básico,não,,,telefone móvel,junho,quarta-feira,longa,1,apenas um,sim
46,terceirizados,casado(a),básico,não,não,não,telefone móvel,agosto,segunda-feira,longa,1,nenhum,sim
34,empreendedor,divorciado(a),,não,não,não,telefone fixo,maio,quarta-feira,longa,4,nenhum,não
38,trabalhador manual,solteiro(a),básico,,sim,não,telefone fixo,maio,quarta-feira,longa,1,nenhum,sim
37,terceirizados,solteiro(a),ensino médio,não,sim,não,telefone fixo,maio,quarta-feira,média,4,nenhum,não
38,terceirizados,casado(a),ensino médio,não,não,não,telefone fixo,maio,terça-feira,média,2,nenhum,não
40,trabalhador manual,divorciado(a),ensino médio,não,não,sim,telefone móvel,novembro,segunda-feira,média,2,nenhum,não
26,escritório,solteiro(a),ensino médio,não,sim,não,telefone móvel,maio,quinta-feira,longa,3,nenhum,sim
36,empreendedor,casado(a),graduação,,sim,sim,telefone fixo,maio,quinta-feira,média,2,nenhum,não
48,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,maio,sexta-feira,longa,1,nenhum,não
28,escritório,solteiro(a),ensino médio,,sim,não,telefone fixo,junho,segunda-feira,curta,1,nenhum,não
49,trabalhador manual,casado(a),básico,,sim,sim,telefone móvel,abril,quinta-feira,longa,2,nenhum,não
34,trabalhador manual,casado(a),básico,não,não,não,telefone fixo,junho,sexta-feira,curta,13,nenhum,não
35,trabalhador manual,solteiro(a),básico,não,não,não,telefone fixo,maio,terça-feira,curta,1,nenhum,não
35,especialista,casado(a),ensino técnico,não,sim,sim,telefone fixo,maio,sexta-feira,média,3,nenhum,não
38,escritório,casado(a),ensino médio,não,sim,não,telefone fixo,novembro,segunda-feira,longa,1,nenhum,não
41,escritório,casado(a),graduação,não,sim,não,telefone móvel,abril,sexta-feira,longa,3,nenhum,não
32,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,novembro,quinta-feira,longa,1,nenhum,não
51,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,maio,quinta-feira,média,2,nenhum,não
51,empreendedor,casado(a),graduação,não,sim,não,telefone móvel,novembro,segunda-feira,curta,1,nenhum,não
32,especialista,solteiro(a),graduação,não,sim,sim,telefone móvel,junho,sexta-feira,média,5,nenhum,não
63,especialista,casado(a),,não,,,telefone móvel,julho,segunda-feira,média,3,apenas um,sim
31,trabalhador manual,divorciado(a),básico,não,sim,não,telefone fixo,maio,quarta-feira,curta,2,nenhum,não
32,gerência,solteiro(a),graduação,não,não,não,telefone móvel,junho,quinta-feira,longa,1,nenhum,não
28,trabalhador manual,casado(a),básico,não,,,telefone fixo,maio,terça-feira,média,2,nenhum,não
31,empreendedor,casado(a),graduação,não,não,não,telefone móvel,maio,quarta-feira,longa,1,nenhum,sim
69,aposentado,casado(a),graduação,não,sim,não,telefone móvel,julho,segunda-feira,longa,2,apenas um,sim
42,gerência,casado(a),básico,não,sim,não,telefone fixo,maio,quarta-feira,longa,1,nenhum,sim
34,especialista,casado(a),graduação,,sim,não,telefone fixo,junho,terça-feira,média,1,nenhum,não
33,trabalhador manual,casado(a),básico,não,não,não,telefone móvel,abril,quinta-feira,longa,1,apenas um,sim
34,empreendedor,casado(a),graduação,não,sim,não,telefone móvel,março,quarta-feira,média,1,apenas um,não
25,,solteiro(a),ensino médio,não,sim,não,telefone móvel,maio,terça-feira,curta,2,mais de um,não
60,escritório,divorciado(a),graduação,não,não,não,telefone móvel,abril,quarta-feira,média,1,nenhum,não
45,especialista,divorciado(a),,não,não,não,telefone fixo,julho,terça-feira,média,3,nenhum,não
31,escritório,solteiro(a),graduação,não,não,sim,telefone móvel,agosto,segunda-feira,longa,1,nenhum,sim
31,trabalhador manual,casado(a),básico,não,não,sim,telefone móvel,maio,segunda-feira,curta,6,nenhum,não
28,escritório,solteiro(a),graduação,não,sim,não,telefone móvel,abril,terça-feira,longa,1,nenhum,não
47,especialista,casado(a),básico,,sim,não,telefone móvel,abril,quarta-feira,longa,2,nenhum,sim
39,trabalhador manual,casado(a),básico,,sim,não,telefone móvel,maio,quinta-feira,média,1,nenhum,não
28,escritório,casado(a),básico,não,sim,não,telefone fixo,junho,terça-feira,média,3,nenhum,não
32,escritório,casado(a),graduação,não,sim,não,telefone fixo,julho,quarta-feira,média,4,nenhum,não
35,gerência,casado(a),graduação,não,não,não,telefone móvel,abril,segunda-feira,média,1,nenhum,sim
40,gerência,casado(a),ensino técnico,não,não,não,telefone móvel,abril,quinta-feira,média,3,nenhum,não
36,trabalhador manual,casado(a),básico,não,não,não,telefone fixo,junho,sexta-feira,longa,1,nenhum,não
49,terceirizados,casado(a),básico,,sim,sim,telefone móvel,agosto,quinta-feira,média,3,nenhum,não
36,trabalhador manual,casado(a),básico,não,sim,não,telefone fixo,maio,sexta-feira,curta,6,nenhum,não
37,trabalhador manual,casado(a),básico,não,não,não,telefone móvel,maio,quinta-feira,média,3,nenhum,não
37,terceirizados,solteiro(a),ensino médio,não,não,sim,telefone fixo,abril,sexta-feira,longa,2,nenhum,não
36,,solteiro(a),graduação,,sim,não,telefone fixo,maio,segunda-feira,média,1,nenhum,não
45,gerência,solteiro(a),graduação,,sim,não,telefone fixo,maio,sexta-feira,longa,1,nenhum,sim
49,terceirizados,casado(a),ensino médio,não,não,não,telefone móvel,agosto,quinta-feira,média,1,nenhum,não
36,terceirizados,divorciado(a),básico,não,sim,sim,telefone móvel,novembro,terça-feira,curta,6,nenhum,não
35,escritório,casado(a),graduação,não,sim,não,telefone fixo,junho,segunda-feira,curta,14,nenhum,não
36,terceirizados,solteiro(a),ensino médio,,sim,não,telefone móvel,julho,terça-feira,curta,1,nenhum,não
72,aposentado,casado(a),ensino técnico,não,não,não,telefone móvel,outubro,terça-feira,longa,1,nenhum,sim
39,trabalhador manual,solteiro(a),básico,não,não,não,telefone fixo,junho,quarta-feira,média,2,nenhum,não
42,trabalhador manual,casado(a),,,não,não,telefone fixo,maio,segunda-feira,curta,1,nenhum,não
50,empreendedor,solteiro(a),básico,não,não,não,telefone fixo,maio,segunda-feira,curta,10,nenhum,não
46,gerência,casado(a),,,não,sim,telefone fixo,junho,segunda-feira,curta,1,nenhum,não
35,terceirizados,casado(a),ensino médio,não,não,não,telefone fixo,maio,sexta-feira,curta,5,nenhum,não
39,trabalhador manual,casado(a),básico,,não,sim,telefone fixo,maio,terça-feira,média,1,nenhum,não
35,especialista,solteiro(a),graduação,não,sim,não,telefone móvel,julho,quinta-feira,longa,1,nenhum,sim
39,escritório,casado(a),graduação,não,,,telefone móvel,abril,segunda-feira,média,1,nenhum,sim
